flight_id,flight_number,airline,origin_airport_id,destination_airport_id,flight_date,departure_time,arrival_time,aircraft_type
F0117,EY2461,Etihad Airways,A057,A013,2025-09-28,00:55,09:42,Boeing 737 MAX 8
F0118,JL6612,Japan Airlines,A020,A010,2025-09-28,10:45,16:16,Airbus A321
F0119,QF8094,Qantas,A043,A069,2025-09-28,20:55,03:19,Boeing 787-9
F0120,QR3827,Qatar Airways,A080,A009,2025-09-02,21:20,09:06,Airbus A321
F0121,BA853,British Airways,A013,A057,2025-09-14,09:00,21:50,Boeing 737-800
F0122,AC4100,Air Canada,A008,A038,2025-09-26,13:10,20:33,Boeing 787-9
F0123,BA6367,British Airways,A073,A024,2025-09-14,02:45,06:44,Embraer E190
F0124,LX4261,Swiss International Air Lines,A031,A064,2025-09-22,07:35,11:01,Boeing 777-300ER
F0125,KL1310,KLM,A002,A060,2025-09-09,17:10,05:43,Boeing 777-300ER
F0126,CX5049,Cathay Pacific,A076,A039,2025-09-12,08:35,21:21,Airbus A350
F0127,QR9517,Qatar Airways,A062,A014,2025-09-13,18:25,01:55,Airbus A380
F0128,QF903,Qantas,A038,A003,2025-09-23,00:45,06:26,Embraer E190
F0129,QR3215,Qatar Airways,A064,A037,2025-09-24,11:15,22:36,Embraer E190
F0130,DL9595,Delta Air Lines,A018,A013,2025-09-09,14:00,20:16,Boeing 737-800
F0131,KL2977,KLM,A017,A012,2025-09-24,23:30,06:04,Airbus A350
F0132,EY4310,Etihad Airways,A070,A047,2025-09-05,08:10,17:43,Boeing 777-300ER
F0133,AA3796,American Airlines,A038,A044,2025-09-26,02:10,11:09,Boeing 737 MAX 8
F0134,UA8891,United Airlines,A072,A047,2025-09-28,00:20,08:04,Airbus A321
F0135,LX1875,Swiss International Air Lines,A048,A034,2025-09-15,20:25,03:55,Airbus A350
F0136,IB1135,Iberia,A004,A080,2025-09-16,19:15,01:50,Boeing 777-300ER
F0137,AA5086,American Airlines,A039,A053,2025-09-30,01:00,04:23,Boeing 777-300ER
F0138,IB6178,Iberia,A013,A031,2025-09-04,12:35,15:53,Boeing 787-9
F0139,CX6786,Cathay Pacific,A076,A020,2025-09-14,03:35,15:45,Airbus A380
F0140,NH1727,ANA,A048,A028,2025-09-02,07:25,16:00,Boeing 737-800
F0141,QF7550,Qantas,A046,A008,2025-09-18,06:05,11:47,Airbus A330
F0142,AF2163,Air France,A028,A077,2025-09-22,10:15,12:06,Embraer E190
F0143,EK5483,Emirates,A009,A071,2025-09-07,06:15,17:15,Airbus A330
F0144,SQ4206,Singapore Airlines,A077,A001,2025-09-26,04:40,08:08,Airbus A330
F0145,AF5404,Air France,A004,A017,2025-09-04,07:45,14:51,Airbus A320
F0146,LH1141,Lufthansa,A034,A007,2025-09-06,16:05,00:16,Boeing 777-300ER
F0147,LX3729,Swiss International Air Lines,A047,A066,2025-09-15,14:40,17:31,Embraer E190
F0148,NH7947,ANA,A067,A039,2025-09-02,00:00,11:58,Boeing 737 MAX 8
F0149,NH2530,ANA,A014,A063,2025-09-14,02:25,04:40,Airbus A321
F0150,LX6340,Swiss International Air Lines,A036,A080,2025-09-05,22:25,08:46,Embraer E190
F0151,EY1974,Etihad Airways,A038,A059,2025-09-17,13:05,00:24,Boeing 787-9
F0152,NH7530,ANA,A028,A056,2025-09-24,13:25,18:18,Boeing 737 MAX 8
F0153,CX6232,Cathay Pacific,A013,A041,2025-09-14,21:20,03:40,Airbus A330
F0154,UA1682,United Airlines,A061,A009,2025-09-22,02:30,04:57,Boeing 737-800
F0155,DL5500,Delta Air Lines,A017,A072,2025-09-26,17:40,04:40,Airbus A321
F0156,DL5861,Delta Air Lines,A046,A055,2025-09-14,19:20,01:14,Airbus A321
F0157,LH1873,Lufthansa,A065,A028,2025-09-19,15:15,03:27,Boeing 737-800
F0158,AA7130,American Airlines,A072,A048,2025-09-28,18:15,00:00,Boeing 787-9
F0159,IB4481,Iberia,A080,A079,2025-09-25,19:50,21:16,Airbus A320
F0160,TK2447,Turkish Airlines,A035,A040,2025-09-06,00:10,07:09,Embraer E190
F0161,LH8791,Lufthansa,A052,A009,2025-09-22,00:05,11:53,Airbus A350
F0163,LH1436,Lufthansa,A011,A007,2025-09-20,19:00,22:41,Airbus A380
F0164,CA3631,Air China,A055,A063,2025-09-15,13:20,21:52,Boeing 787-9
F0166,QR225,Qatar Airways,A040,A006,2025-09-17,19:00,02:44,Airbus A350
F0167,SQ226,Singapore Airlines,A028,A018,2025-09-10,10:05,16:01,Boeing 777-300ER
F0168,LH3870,Lufthansa,A056,A023,2025-09-24,17:55,01:24,Boeing 787-9
F0169,QF7632,Qantas,A046,A010,2025-09-18,13:00,14:43,Airbus A321
F0170,CX6943,Cathay Pacific,A041,A074,2025-09-28,12:55,23:42,Airbus A380
F0171,TK6028,Turkish Airlines,A052,A003,2025-09-04,19:35,23:30,Airbus A321
F0172,CX1388,Cathay Pacific,A014,A032,2025-09-14,12:40,23:43,Boeing 737 MAX 8
F0173,QR8463,Qatar Airways,A040,A044,2025-09-28,05:05,11:46,Airbus A321
F0174,AC2519,Air Canada,A066,A025,2025-09-17,23:50,06:49,Airbus A350
F0175,EK1334,Emirates,A019,A033,2025-09-04,19:10,23:07,Airbus A330
F0176,LX9348,Swiss International Air Lines,A064,A060,2025-09-25,14:50,01:43,Embraer E190
F0177,NH5061,ANA,A041,A020,2025-09-11,15:35,17:44,Airbus A380
F0178,EY7504,Etihad Airways,A008,A046,2025-09-19,09:35,11:50,Airbus A320
F0179,UA9833,United Airlines,A048,A037,2025-09-02,23:25,02:30,Boeing 787-9
F0180,IB3184,Iberia,A060,A075,2025-09-13,14:45,16:27,Boeing 737-800
F0181,LH5726,Lufthansa,A061,A065,2025-09-20,14:05,16:08,Airbus A321
F0182,QR8664,Qatar Airways,A023,A006,2025-09-17,14:40,23:08,Embraer E190
F0183,KL9895,KLM,A047,A048,2025-09-06,13:25,21:01,Airbus A320
F0184,TK6433,Turkish Airlines,A043,A009,2025-09-26,17:50,20:26,Airbus A380
F0185,TK2417,Turkish Airlines,A078,A020,2025-09-09,18:50,21:13,Boeing 737-800
F0186,CA6271,Air China,A051,A017,2025-09-10,09:40,12:06,Boeing 737-800
F0187,UA8431,United Airlines,A017,A068,2025-09-27,21:30,09:31,Boeing 737-800
F0188,BA3245,British Airways,A047,A040,2025-09-01,10:35,15:14,Airbus A350
F0189,KL8726,KLM,A020,A010,2025-09-05,16:40,19:23,Airbus A320
F0190,LH2758,Lufthansa,A044,A080,2025-09-22,12:10,23:21,Airbus A330
F0191,NH3991,ANA,A080,A022,2025-09-27,13:25,15:09,Boeing 777-300ER
F0192,QR7784,Qatar Airways,A037,A058,2025-09-20,07:20,17:26,Airbus A350
F0193,NH8741,ANA,A074,A057,2025-09-12,12:40,18:28,Boeing 737 MAX 8
F0194,LH7973,Lufthansa,A026,A078,2025-09-06,01:50,07:06,Boeing 737-800
F0195,AA4569,American Airlines,A014,A067,2025-09-18,02:10,08:01,Boeing 777-300ER
F0196,CX5827,Cathay Pacific,A066,A019,2025-09-29,07:35,10:08,Airbus A320
F0197,EY1437,Etihad Airways,A007,A051,2025-09-14,07:30,14:52,Boeing 737-800
F0198,AA2354,American Airlines,A004,A041,2025-09-08,10:10,22:15,Airbus A320
F0199,JL1398,Japan Airlines,A061,A018,2025-09-10,19:00,03:39,Airbus A320
F0200,IB1921,Iberia,A028,A020,2025-09-09,16:30,03:53,Airbus A380
F0201,DL7589,Delta Air Lines,A039,A016,2025-09-08,13:50,18:54,Airbus A321
F0202,IB9521,Iberia,A064,A077,2025-09-04,20:40,21:56,Airbus A350
F0203,CX4041,Cathay Pacific,A019,A038,2025-09-23,19:25,20:26,Embraer E190
F0204,EY9014,Etihad Airways,A024,A011,2025-09-14,02:40,09:49,Boeing 787-9
F0206,UA1798,United Airlines,A003,A046,2025-09-09,07:55,14:48,Embraer E190
F0207,DL2968,Delta Air Lines,A043,A018,2025-09-24,17:25,00:25,Boeing 777-300ER
F0209,DL6624,Delta Air Lines,A006,A026,2025-09-07,09:40,16:03,Boeing 787-9
F0210,EK5538,Emirates,A033,A005,2025-09-16,11:00,16:52,Airbus A380
F0211,QF3160,Qantas,A048,A056,2025-09-04,12:25,20:55,Boeing 777-300ER
F0212,EY7055,Etihad Airways,A064,A048,2025-09-23,02:55,08:28,Airbus A321
F0213,IB1411,Iberia,A078,A024,2025-09-14,10:05,16:05,Boeing 737-800
F0214,NH2830,ANA,A038,A040,2025-09-22,22:30,09:47,Boeing 777-300ER
F0216,EY2439,Etihad Airways,A052,A047,2025-09-22,05:00,17:35,Embraer E190
F0217,LH6101,Lufthansa,A057,A005,2025-09-22,07:50,09:58,Boeing 737-800
F0218,CA6177,Air China,A073,A005,2025-09-13,21:35,01:12,Boeing 737-800
F0219,LH5250,Lufthansa,A010,A074,2025-09-15,11:30,21:32,Airbus A380
F0220,BA9302,British Airways,A015,A004,2025-09-08,16:30,02:01,Airbus A321
F0221,EK8147,Emirates,A034,A058,2025-09-09,09:55,21:21,Airbus A350
F0222,NH1538,ANA,A018,A010,2025-09-04,22:35,02:31,Boeing 737-800
F0223,IB2680,Iberia,A045,A009,2025-09-22,09:20,19:35,Airbus A330
F0224,QR3978,Qatar Airways,A047,A066,2025-09-26,06:10,09:14,Boeing 777-300ER
F0225,LX2226,Swiss International Air Lines,A047,A071,2025-09-01,14:40,21:57,Embraer E190
F0226,KL7942,KLM,A012,A009,2025-09-29,22:55,06:42,Boeing 787-9
F0227,UA1315,United Airlines,A053,A074,2025-09-14,10:50,13:58,Boeing 777-300ER
F0228,LH3081,Lufthansa,A067,A045,2025-09-15,20:45,07:09,Airbus A330
F0229,AA2797,American Airlines,A065,A008,2025-09-14,04:20,14:10,Airbus A330
F0230,EY3316,Etihad Airways,A029,A045,2025-09-11,02:20,08:10,Boeing 787-9
F0231,CA2862,Air China,A017,A039,2025-09-09,02:40,12:46,Embraer E190
F0232,CA774,Air China,A020,A022,2025-09-19,10:45,22:04,Airbus A320
F0233,SQ6925,Singapore Airlines,A006,A074,2025-09-03,06:45,18:51,Embraer E190
F0234,IB8012,Iberia,A004,A064,2025-09-21,20:20,02:16,Airbus A350
F0235,NH2689,ANA,A052,A039,2025-09-26,22:00,00:14,Boeing 777-300ER
F0236,EK5221,Emirates,A062,A060,2025-09-14,19:10,01:58,Boeing 737-800
F0237,LH1839,Lufthansa,A045,A052,2025-09-24,16:40,23:59,Boeing 737-800
F0238,SQ1686,Singapore Airlines,A060,A016,2025-09-08,07:10,15:50,Airbus A320
F0239,CX9564,Cathay Pacific,A050,A079,2025-09-10,05:25,10:39,Boeing 737-800
F0240,EY8248,Etihad Airways,A021,A064,2025-09-07,15:20,00:18,Airbus A320
F0241,NH5881,ANA,A051,A065,2025-09-03,06:45,11:51,Airbus A320
F0242,CA4781,Air China,A037,A064,2025-09-02,21:35,09:44,Boeing 787-9
F0243,LH6706,Lufthansa,A014,A056,2025-09-01,23:25,04:55,Boeing 737-800
F0244,LX9164,Swiss International Air Lines,A052,A007,2025-09-02,06:25,17:00,Airbus A380
F0245,NH2046,ANA,A050,A065,2025-09-03,08:45,19:08,Airbus A330
F0246,TK3361,Turkish Airlines,A051,A048,2025-09-04,11:10,21:41,Embraer E190
F0247,DL5556,Delta Air Lines,A052,A065,2025-09-17,01:10,02:56,Boeing 777-300ER
F0248,CA5318,Air China,A059,A020,2025-09-17,04:25,14:12,Airbus A330
F0249,LX8821,Swiss International Air Lines,A079,A039,2025-09-13,16:40,23:24,Boeing 777-300ER
F0250,JL1895,Japan Airlines,A073,A039,2025-09-19,11:25,12:42,Boeing 737 MAX 8
F0251,CA9577,Air China,A040,A004,2025-09-19,08:50,17:55,Embraer E190
F0252,JL6329,Japan Airlines,A007,A075,2025-09-08,16:50,20:44,Airbus A330
F0253,LX410,Swiss International Air Lines,A032,A005,2025-09-27,03:15,16:12,Boeing 777-300ER
F0254,CX8321,Cathay Pacific,A054,A020,2025-09-11,06:30,19:17,Embraer E190
F0255,LH5425,Lufthansa,A061,A008,2025-09-30,06:40,16:31,Boeing 777-300ER
F0256,BA9050,British Airways,A049,A041,2025-09-17,17:25,02:15,Boeing 737-800
F0257,JL9243,Japan Airlines,A034,A079,2025-09-22,07:20,11:36,Airbus A380
F0258,EK5294,Emirates,A039,A037,2025-09-08,22:35,11:21,Boeing 777-300ER
F0259,KL8999,KLM,A072,A036,2025-09-12,18:50,21:54,Boeing 737 MAX 8
F0260,LH1394,Lufthansa,A051,A045,2025-09-29,01:20,07:17,Boeing 737-800
F0261,JL4542,Japan Airlines,A057,A033,2025-09-30,06:40,11:19,Boeing 787-9
F0262,AA4020,American Airlines,A035,A018,2025-09-23,23:45,11:15,Airbus A350
F0263,QR5511,Qatar Airways,A068,A029,2025-09-02,03:30,05:23,Boeing 777-300ER
F0264,IB7893,Iberia,A018,A001,2025-09-04,13:50,17:31,Boeing 777-300ER
F0265,TK1565,Turkish Airlines,A026,A037,2025-09-21,20:00,01:52,Embraer E190
F0266,BA6604,British Airways,A069,A005,2025-09-08,05:00,13:07,Boeing 777-300ER
F0267,AF1858,Air France,A038,A005,2025-09-06,18:45,00:50,Boeing 737-800
F0268,EY7768,Etihad Airways,A059,A070,2025-09-10,04:40,14:05,Airbus A380
F0269,BA3150,British Airways,A015,A043,2025-09-07,20:20,05:09,Airbus A320
F0270,LX6743,Swiss International Air Lines,A044,A038,2025-09-24,06:10,18:40,Boeing 737 MAX 8
F0271,QF2403,Qantas,A042,A012,2025-09-17,03:10,15:35,Boeing 777-300ER
F0272,SQ4474,Singapore Airlines,A032,A001,2025-09-11,07:35,15:07,Boeing 737-800
F0273,AF3971,Air France,A075,A074,2025-09-10,20:25,01:52,Airbus A320
F0274,KL8333,KLM,A016,A060,2025-09-22,12:50,16:33,Airbus A380
F0275,AC2288,Air Canada,A016,A038,2025-09-23,07:15,18:44,Boeing 777-300ER
F0276,AC7814,Air Canada,A059,A078,2025-09-05,22:40,06:45,Boeing 787-9
F0277,CA8753,Air China,A028,A032,2025-09-26,16:35,18:58,Boeing 737-800
F0278,DL9483,Delta Air Lines,A073,A015,2025-09-03,16:15,02:35,Boeing 787-9
F0279,EY3465,Etihad Airways,A022,A042,2025-09-05,03:50,12:22,Embraer E190
F0280,NH8509,ANA,A012,A066,2025-09-16,14:10,16:06,Boeing 737 MAX 8
F0281,IB456,Iberia,A073,A008,2025-09-15,21:20,06:13,Boeing 737 MAX 8
F0282,LX5744,Swiss International Air Lines,A001,A028,2025-09-09,01:30,03:44,Airbus A321
F0283,JL3048,Japan Airlines,A008,A009,2025-09-18,09:30,11:02,Airbus A330
F0284,QF1414,Qantas,A054,A048,2025-09-25,12:30,21:09,Boeing 787-9
F0285,BA2186,British Airways,A045,A016,2025-09-05,12:40,22:50,Airbus A350
F0286,KL9020,KLM,A001,A003,2025-09-27,21:55,06:49,Boeing 737 MAX 8
F0287,QR4616,Qatar Airways,A049,A030,2025-09-18,11:10,20:01,Airbus A350
F0288,CX3476,Cathay Pacific,A015,A005,2025-09-30,00:15,11:44,Airbus A321
F0289,NH897,ANA,A077,A005,2025-09-04,21:55,09:07,Boeing 737 MAX 8
F0290,NH1024,ANA,A006,A052,2025-09-24,17:15,22:14,Airbus A330
F0291,LX5353,Swiss International Air Lines,A038,A030,2025-09-17,18:45,01:11,Airbus A350
F0292,QR1098,Qatar Airways,A019,A067,2025-09-10,09:20,17:23,Boeing 787-9
F0293,IB6344,Iberia,A023,A055,2025-09-19,01:25,10:52,Boeing 787-9
F0294,LH8913,Lufthansa,A054,A053,2025-09-11,12:10,18:17,Boeing 777-300ER
F0295,LH6861,Lufthansa,A029,A039,2025-09-08,01:40,10:34,Boeing 737 MAX 8
F0296,QF5511,Qantas,A068,A018,2025-09-18,08:15,13:23,Airbus A321
F0297,UA944,United Airlines,A058,A048,2025-09-30,23:15,09:23,Airbus A380
F0298,UA9256,United Airlines,A078,A006,2025-09-13,18:55,23:07,Airbus A350
F0299,KL2022,KLM,A027,A043,2025-09-16,06:15,07:30,Boeing 777-300ER
F0300,EK5369,Emirates,A032,A078,2025-09-30,07:40,15:26,Airbus A380
F0301,AC8501,Air Canada,A060,A069,2025-09-13,08:25,14:40,Boeing 777-300ER
F0302,TK6881,Turkish Airlines,A013,A061,2025-09-15,11:25,15:53,Airbus A320
F0303,AF9588,Air France,A029,A019,2025-09-19,17:45,23:12,Boeing 737 MAX 8
F0304,TK4126,Turkish Airlines,A020,A026,2025-09-10,12:45,17:40,Boeing 777-300ER
F0305,JL7650,Japan Airlines,A044,A033,2025-09-18,23:35,11:32,Airbus A330
F0306,LH8982,Lufthansa,A046,A022,2025-09-24,15:10,01:29,Airbus A320
F0307,DL3891,Delta Air Lines,A005,A010,2025-09-17,13:10,14:16,Airbus A321
F0308,EK1090,Emirates,A020,A002,2025-09-23,14:25,00:02,Embraer E190
F0309,JL9138,Japan Airlines,A079,A062,2025-09-21,00:40,01:56,Boeing 737 MAX 8
F0310,SQ8328,Singapore Airlines,A003,A068,2025-09-01,09:00,19:08,Boeing 737 MAX 8
F0311,AA3244,American Airlines,A023,A014,2025-09-26,04:15,14:11,Embraer E190
F0312,SQ6752,Singapore Airlines,A033,A046,2025-09-17,02:25,10:11,Boeing 777-300ER
F0313,KL619,KLM,A032,A029,2025-09-19,02:50,15:30,Airbus A321
F0314,JL2907,Japan Airlines,A049,A071,2025-09-13,20:00,21:57,Airbus A321
F0315,LX3864,Swiss International Air Lines,A056,A043,2025-09-16,16:00,18:37,Airbus A350
F0316,SQ4693,Singapore Airlines,A073,A061,2025-09-30,02:50,04:37,Boeing 787-9
F0317,TK2462,Turkish Airlines,A005,A023,2025-09-19,06:45,08:01,Boeing 737 MAX 8
